id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_7d_in_currency
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,84.52,6477425944,30,6477455008,466509252.0,84.53,82.55,1.001,1.19841,80106064.0,1.25218,76609608.23347135,76609951.98347135,84000000.0,410.26,-79.40758,2021-05-10T03:13:07.904Z,1.15,7253.70089,2015-01-14T00:00:00.000Z,,2025-12-09T14:06:23.346Z,0.46342447219975746,1.1984131887720602,6.881926612702825
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,1.6,5987133509,31,16021802578,695088997.0,1.64,1.58,-0.014910469679333183,-0.92159,-58370762.46285534,-0.96552,3736866360.651109,10000000000.0,10000000000.0,5.35,-70.01993,2025-01-04T22:56:18.063Z,0.364846,339.33689,2023-10-19T10:40:30.078Z,,2025-12-09T14:06:32.851Z,-0.26317421563195426,-0.9215925664384169,16.017660207443647
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,13.65,5859041410,32,6291171690,316468808.0,13.78,13.52,-0.08659164027446664,-0.63036,-33535176.104589462,-0.56911,429385315.5812866,461054386.260526,720000000.0,144.96,-90.59162,2021-11-21T14:18:56.538Z,2.8,386.90409,2020-12-31T13:15:21.540Z,,2025-12-09T14:06:31.235Z,-0.06648636439099363,-0.63036152387931,4.878475487752159
hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.135317,5748491915,33,6766704415,114710656.0,0.136251,0.13257,5.948e-05,0.04398,1355696.0,0.02359,42476304284.955,50000000000.0,50000000000.0,0.569229,-76.25138,2021-09-15T10:40:28.318Z,0.00986111,1270.88006,2020-01-02T17:30:24.852Z,,2025-12-09T14:06:34.531Z,0.2613001862317695,0.043975597064356095,0.9182344285346203
shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,8.64e-06,5082938075,34,5085148818,113915835.0,8.66e-06,8.43e-06,1.36685e-07,1.6083,72768775.0,1.45242,589244313571696.2,589500595994015.1,,8.616e-05,-89.99374,2021-10-28T03:54:55.568Z,5.6366e-11,15294963.27586,2020-11-28T11:26:25.838Z,,2025-12-09T14:06:27.405Z,0.2946072362303336,1.6082996736323178,8.047849823762103
usdt0,usdt0,USDT0,https://coin-images.coingecko.com/coins/images/53705/large/usdt0.jpg?1737086183,0.999956,4520572432,35,4520572432,230630534.0,1.001,0.998722,-8.1844214143034e-05,-0.00818,543577186.0,13.66804,4520766331.164322,4520766331.164322,,1.052,-4.94987,2025-01-23T22:34:53.341Z,0.975737,2.48287,2025-02-28T01:35:58.101Z,,2025-12-09T14:06:29.363Z,-0.01669777548556221,-0.008184109471734735,0.004734102900657033
dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,0.999132,4333179904,36,4331796050,79147723.0,1.001,0.998266,-0.000498200512084157,-0.04984,3147448.0,0.07269,4334667655.498844,4333283326.452188,,1.22,-17.97139,2020-03-13T03:02:50.373Z,0.88196,13.3693,2023-03-11T07:50:50.514Z,,2025-12-09T14:06:32.972Z,-0.026441403461248236,-0.04983846307529395,-0.025514862144474796
susds,susds,sUSDS,https://coin-images.coingecko.com/coins/images/52721/large/sUSDS_Coin.png?1734086971,1.082,4258382933,37,4258382933,23954329.0,1.086,1.065,0.00343297,0.31843,67629465.0,1.61378,3938281914.518285,3938281914.518285,,1.11,-2.49697,2025-10-10T21:52:27.019Z,0.961716,12.03682,2025-01-04T01:21:08.460Z,,2025-12-09T14:06:27.935Z,0.4338905829592863,0.3184284131056335,0.47432722301804975
world-liberty-financial,wlfi,World Liberty Financial,https://coin-images.coingecko.com/coins/images/50767/large/wlfi.png?1756438915,0.14925,4065027551,38,14920925761,107318182.0,0.154447,0.148197,0.0004573,0.30734,8232924.0,0.20294,27243802538.151154,100000000000.0,100000000000.0,0.331336,-55.09124,2025-09-01T12:20:09.597Z,0.104606,42.24732,2025-10-10T21:22:29.880Z,,2025-12-09T14:06:29.584Z,-0.14915831181190237,0.30733971685112366,-7.08562850775461
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,1.62,3977941692,39,8367642504,84307266.0,1.66,1.61,-0.0324782302338813,-1.95964,-77403166.2133503,-1.90867,2447295063.679525,5147911100.060653,,8.25,-80.28863,2024-06-15T00:36:51.509Z,0.519364,213.24843,2021-09-21T00:33:11.092Z,,2025-12-09T14:06:28.676Z,0.4295565984878371,-1.959640505258312,7.088942478166346
